Timestamp (ms), Piezo Value Left, Piezo Value Right, Flex Value Middle, rf Distance left, rf Distance right, Label
0, 0, 49, 753, 0.00, 108.00, left
190, 0, 51, 753, 67.00, 97.00, left
368, 1, 49, 752, 67.00, 97.00, left
571, 23, 52, 753, 67.00, 97.00, left
775, 156, 53, 753, 67.00, 95.00, left
968, 84, 52, 754, 67.00, 94.00, left
1160, 48, 52, 752, 56.00, 97.00, left
1339, 34, 53, 753, 56.00, 97.00, left
1544, 20, 56, 752, 56.00, 94.00, left
1737, 16, 58, 753, 56.00, 94.00, left
1942, 45, 57, 752, 56.00, 106.00, left
2139, 5, 58, 753, 50.00, 104.00, left
2318, 20, 59, 752, 50.00, 102.00, left
2513, 16, 59, 752, 50.00, 98.00, left
2706, 36, 58, 751, 46.00, 94.00, left
2885, 0, 58, 751, 47.00, 118.00, left
3065, 0, 57, 750, 46.00, 118.00, left
3255, 0, 57, 751, 46.00, 118.00, left
3460, 13, 59, 753, 46.00, 118.00, left
3666, 76, 53, 751, 46.00, 118.00, left
3872, 6, 52, 752, 46.00, 94.00, left
4064, 38, 51, 752, 46.00, 97.00, left
4257, 13, 55, 752, 46.00, 97.00, left
4462, 26, 56, 752, 46.00, 115.00, left
4660, 15, 56, 752, 46.00, 117.00, left
4855, 13, 57, 752, 46.00, 117.00, left
5061, 26, 54, 752, 54.00, 117.00, left
5253, 24, 51, 751, 58.00, 97.00, left
5433, 14, 52, 751, 58.00, 94.00, left
5626, 64, 55, 753, 58.00, 110.00, left
5821, 0, 58, 753, 53.00, 110.00, left
6012, 36, 57, 752, 53.00, 110.00, left
6218, 0, 58, 752, 53.00, 110.00, left
6423, 27, 58, 752, 53.00, 110.00, left
6629, 42, 55, 752, 53.00, 110.00, left
6835, 0, 53, 752, 51.00, 110.00, left
7026, 14, 57, 752, 51.00, 110.00, left
7234, 5, 58, 752, 51.00, 110.00, left
7439, 37, 58, 752, 51.00, 110.00, left
7645, 8, 58, 751, 51.00, 110.00, left
7850, 35, 56, 751, 51.00, 110.00, left
8056, 6, 58, 751, 51.00, 110.00, left
8261, 17, 58, 751, 51.00, 110.00, left
8467, 14, 57, 751, 51.00, 110.00, left
8673, 21, 57, 751, 51.00, 110.00, left
8879, 17, 58, 752, 51.00, 110.00, left
9085, 22, 57, 751, 49.00, 110.00, left
9277, 21, 55, 751, 49.00, 110.00, left
9483, 14, 55, 752, 49.00, 110.00, left
9689, 17, 58, 752, 52.00, 110.00, left
9883, 26, 58, 752, 52.00, 110.00, left
10089, 18, 58, 751, 52.00, 110.00, left
10296, 19, 57, 751, 52.00, 110.00, left
10503, 21, 58, 752, 52.00, 110.00, left
10710, 19, 58, 751, 52.00, 110.00, left
10917, 20, 58, 751, 52.00, 110.00, left
11124, 10, 58, 752, 52.00, 110.00, left
11331, 24, 58, 751, 52.00, 110.00, left
11538, 16, 58, 752, 52.00, 110.00, left
11745, 24, 58, 751, 52.00, 110.00, left
11952, 19, 58, 751, 68.00, 110.00, left
12146, 21, 58, 752, 68.00, 110.00, left
12342, 20, 58, 752, 46.00, 110.00, left
12534, 20, 57, 752, 67.00, 110.00, left
12728, 21, 58, 751, 67.00, 110.00, left
12935, 21, 58, 751, 42.00, 110.00, left
13127, 20, 58, 752, 42.00, 110.00, left
13334, 21, 57, 751, 42.00, 110.00, left
13526, 21, 58, 752, 42.00, 110.00, left
13733, 21, 57, 752, 42.00, 110.00, left
13940, 20, 58, 751, 48.00, 110.00, left
14133, 17, 58, 752, 48.00, 110.00, left
14340, 24, 59, 751, 48.00, 110.00, left
14547, 16, 58, 751, 48.00, 110.00, left
14754, 16, 57, 751, 48.00, 110.00, left
14963, 17, 59, 752, 48.00, 110.00, left
15170, 23, 58, 751, 48.00, 110.00, left
15377, 39, 57, 751, 48.00, 110.00, left
15584, 19, 59, 752, 48.00, 110.00, left
15791, 13, 58, 751, 48.00, 110.00, left
15998, 17, 58, 751, 48.00, 110.00, left
16205, 22, 58, 751, 48.00, 110.00, left
16412, 20, 58, 752, 48.00, 110.00, left
16619, 20, 58, 752, 48.00, 110.00, left
16826, 20, 59, 751, 48.00, 110.00, left
17033, 20, 58, 751, 48.00, 110.00, left
17240, 21, 59, 751, 48.00, 110.00, left
17449, 21, 59, 751, 48.00, 110.00, left
17656, 21, 58, 751, 48.00, 110.00, left
17863, 21, 59, 752, 48.00, 110.00, left
18070, 21, 58, 751, 48.00, 110.00, left
18277, 21, 58, 752, 48.00, 110.00, left
18484, 21, 59, 751, 48.00, 110.00, left
18691, 20, 58, 752, 48.00, 110.00, left
18898, 21, 58, 751, 48.00, 110.00, left
19105, 21, 58, 751, 48.00, 110.00, left
19312, 21, 58, 751, 48.00, 110.00, left
19519, 21, 58, 752, 48.00, 110.00, left
19726, 21, 59, 751, 48.00, 110.00, left
19933, 22, 58, 751, 48.00, 110.00, left
20143, 21, 58, 751, 48.00, 110.00, left
20350, 21, 58, 752, 48.00, 110.00, left
20557, 21, 58, 752, 48.00, 110.00, left
20764, 21, 59, 752, 48.00, 110.00, left
20971, 22, 58, 751, 48.00, 110.00, left
21178, 20, 58, 751, 48.00, 110.00, left
21385, 21, 59, 751, 48.00, 110.00, left
21592, 21, 58, 751, 48.00, 110.00, left
21799, 21, 58, 751, 48.00, 110.00, left
22006, 20, 59, 752, 48.00, 110.00, left
22213, 21, 58, 751, 48.00, 110.00, left
22420, 21, 58, 751, 48.00, 110.00, left
22629, 21, 59, 751, 48.00, 110.00, left
22836, 21, 58, 751, 48.00, 110.00, left
23043, 21, 58, 751, 48.00, 110.00, left
23250, 21, 58, 751, 48.00, 110.00, left
23457, 21, 58, 751, 48.00, 110.00, left
23664, 22, 58, 751, 48.00, 110.00, left
23871, 21, 58, 751, 48.00, 110.00, left
24078, 21, 58, 752, 48.00, 110.00, left
24285, 21, 58, 751, 48.00, 110.00, left
24492, 21, 59, 751, 48.00, 110.00, left
24699, 21, 58, 751, 48.00, 110.00, left
24906, 21, 59, 751, 48.00, 110.00, left
25113, 22, 58, 752, 48.00, 110.00, left
25322, 21, 58, 751, 48.00, 110.00, left
25529, 21, 59, 752, 48.00, 110.00, left
25736, 21, 58, 751, 48.00, 110.00, left
25943, 21, 58, 751, 48.00, 110.00, left
26150, 21, 58, 752, 48.00, 110.00, left
26357, 22, 58, 751, 48.00, 110.00, left
26564, 21, 58, 751, 48.00, 110.00, left
26771, 22, 59, 751, 48.00, 110.00, left
26978, 21, 58, 750, 48.00, 110.00, left
27185, 21, 58, 751, 48.00, 110.00, left
27392, 21, 59, 751, 48.00, 110.00, left
27599, 22, 58, 751, 48.00, 110.00, left
