Timestamp (ms), Piezo Value Left, Piezo Value Right, Flex Value Middle, rf Distance left, rf Distance right, Label
0,65,34,761,0,0, left
166,68,33,761,125,0, left
360,69,34,761,125,0, left
564,70,34,761,125,0, left
768,68,32,761,122,0, left
962,69,34,761,122,0, left
1156,68,34,761,122,0, left
1361,70,34,761,122,0, left
1566,70,33,761,122,0, left
1771,69,32,760,122,0, left
1976,114,34,762,122,0, left
2184,197,33,761,122,0, left
2390,165,31,760,122,0, left
2596,167,33,762,122,0, left
2802,145,32,762,122,0, left
3008,98,31,762,122,0, left
3213,116,32,762,122,113, middle
3412,120,31,762,50,103, left
3593,100,30,762,98,103, middle
3790,14,29,762,75,115, left
3972,101,27,762,92,108, left
4156,159,28,763,80,98, left
4338,0,23,764,80,98, left
4542,15,18,763,95,98, middle
4740,37,17,765,102,98, middle
4937,58,16,762,116,98, left
5132,47,17,762,95,98, middle
5327,58,20,762,117,98, left
5522,80,24,762,117,98, left
5728,10,32,763,94,98, middle
5923,10,27,762,116,97, right
6108,22,24,760,98,97, middle
6303,66,24,762,85,93, middle
6486,62,22,763,97,91, middle
6669,40,21,763,95,93, middle
6852,69,16,765,63,92, middle
7036,27,19,763,109,76, left
7218,45,25,764,109,94, left
7412,54,16,763,99,98, middle
7596,61,15,763,96,95, middle
7780,42,21,763,71,67, middle
7960,30,34,765,96,71, middle
8142,58,35,762,98,100, middle
8327,93,32,763,106,72, left
8509,117,32,766,97,116, middle
8696,102,31,765,98,110, middle
8883,107,32,766,93,88, middle
9067,69,28,766,112,81, middle
9254,52,32,767,92,81, middle
9449,61,30,766,80,72, middle
9630,20,32,766,87,96, middle
9813,26,37,766,92,108, middle
9998,31,38,765,96,68, middle
10180,45,36,765,94,84, middle
10364,41,36,765,118,84, middle
10563,40,36,765,117,84, middle
10762,43,37,765,118,80, middle
10948,49,38,766,104,88, middle
11134,51,41,766,116,112, middle
11323,54,39,765,120,76, middle
11509,52,40,765,116,108, middle
11700,59,40,766,160,108, middle
11902,62,40,765,115,79, middle
12088,60,40,765,115,84, middle
12274,57,42,767,117,92, middle
12461,60,42,765,117,92, middle
12660,61,42,767,107,109, middle
12848,62,44,766,97,88, middle
13032,64,46,766,102,91, middle
13218,66,44,766,119,92, middle
13405,63,44,766,94,110, middle
13591,64,46,766,99,81, middle
13778,67,45,767,109,81, middle
13976,68,46,766,117,114, middle
14165,66,45,766,96,87, middle
14349,68,47,766,97,101, middle
14535,69,47,766,102,101, middle
14734,70,48,767,98,92, middle
14919,69,46,766,98,94, middle
15115,70,48,766,105,93, middle
15301,68,46,765,97,90, middle
15485,69,47,767,97,90, middle
15669,70,49,768,104,91, middle
15855,72,48,767,105,110, middle
16046,70,48,767,97,90, middle
16230,71,50,767,97,93, middle
16415,72,49,767,99,89, middle
16599,71,47,766,94,94, middle
16783,69,48,766,94,98, middle
16979,70,48,766,97,90, middle
17163,69,48,767,96,93, middle
17348,73,50,768,110,91, middle
17534,75,50,767,120,92, middle
17721,71,48,767,101,111, middle
17909,67,51,768,111,108, middle
18097,77,48,766,106,93, middle
18285,71,49,766,95,91, middle
18469,74,51,768,117,89, middle
18656,70,49,767,99,90, middle
18840,69,48,768,97,90, middle
19024,71,50,767,99,94, middle
19209,74,52,767,98,97, middle
19394,73,50,767,105,112, middle
19582,70,50,767,101,95, middle
19768,74,52,766,101,111, middle
19967,73,52,767,120,96, middle
20154,73,50,766,100,92, middle
20340,71,50,767,96,107, middle
20529,75,52,767,93,90, middle
20713,73,51,768,93,88, middle
20897,73,50,767,98,108, middle
21083,72,51,768,95,91, middle
21267,74,53,768,115,90, middle
21453,74,51,768,116,95, middle
21640,72,50,767,102,94, middle
21826,74,53,768,115,88, middle
22012,75,52,768,108,90, middle
22198,72,50,767,117,90, middle
22385,75,53,768,119,108, middle
22574,74,51,767,116,95, middle
22763,73,52,768,95,89, middle
22947,75,53,768,115,90, middle
23133,73,51,768,100,93, middle
23319,72,51,768,98,89, middle
23503,73,52,768,99,92, middle
23688,75,53,768,116,87, middle
23874,73,51,767,116,87, middle
24071,74,52,767,98,111, middle
24258,71,51,767,160,94, middle
24447,75,54,768,98,97, middle
24632,74,52,768,99,96, middle
24817,72,51,767,99,110, middle
25006,76,54,768,98,98, middle
25191,74,52,767,95,100, middle
25377,73,51,767,116,90, middle
25563,75,53,768,116,92, middle
25750,75,53,767,95,91, middle
25934,72,51,767,98,97, middle
26119,73,52,768,119,94, middle
26306,75,54,767,99,93, middle
26491,73,52,767,95,92, middle
26675,72,51,767,95,93, middle
26859,72,52,768,95,93, middle
27043,74,54,767,120,95, middle
27233,72,51,767,95,94, middle
27417,72,51,767,96,94, middle
27602,73,54,769,94,94, middle
27786,75,54,768,96,93, middle
27971,73,52,767,95,94, middle
28155,72,51,767,116,97, middle
28342,74,54,768,114,96, middle
28529,74,53,767,115,94, middle
28716,73,52,768,114,97, middle
28903,75,54,769,116,111, middle
29092,72,51,768,102,97, middle
29278,73,53,768,102,96, middle
29466,73,53,768,115,93, middle
29653,70,51,767,100,92, middle
29839,70,53,767,115,91, middle
30025,73,54,768,97,93, middle
30209,71,52,767,95,108, middle
30395,73,52,768,124,68, middle
30581,76,54,768,105,111, middle
30769,73,52,767,105,73, middle
30965,76,54,768,96,108, middle
31151,70,51,768,94,91, middle
31335,74,53,768,93,87, middle
31519,74,54,767,116,107, middle
31710,70,51,766,98,80, middle
31894,72,52,768,99,82, middle
32078,73,54,768,97,82, middle
32274,72,52,767,115,82, middle
32472,71,52,768,115,90, middle
32658,74,54,768,99,107, middle
32844,74,53,768,159,111, middle
33035,73,53,768,159,108, middle
33234,73,53,767,159,90, middle
33423,74,53,768,97,111, middle
33610,72,52,767,103,88, middle
33796,76,54,768,111,108, middle
33987,72,52,768,101,92, middle
34173,74,53,768,108,81, middle
34358,76,55,768,94,92, middle
34542,74,53,768,125,80, middle
34728,73,52,768,125,90, middle
34925,74,52,767,89,79, middle
35108,72,51,768,103,112, middle
35296,75,54,768,102,108, middle
35484,74,52,768,98,81, middle
35668,72,52,767,98,79, middle
35863,73,52,767,108,78, middle
36048,74,52,767,95,112, middle
36237,77,54,768,95,79, middle
36421,76,53,767,109,86, middle
36607,74,52,767,109,110, middle
36806,74,52,768,96,88, middle
36990,75,53,768,98,90, middle
37174,77,55,768,117,113, middle
37363,74,52,767,98,116, middle
37550,75,53,767,91,116, middle
37747,74,52,768,115,77, middle
37933,74,54,768,118,78, middle
38119,76,53,767,115,89, middle
38305,73,52,768,94,76, middle
38491,75,54,768,95,77, middle
38674,76,54,768,97,114, middle
38861,74,52,767,97,78, middle
39045,73,52,767,117,80, middle
39231,75,54,768,116,87, middle
39417,76,54,768,96,88, middle
39601,72,52,768,95,89, middle
39785,74,52,767,89,89, middle
39969,74,54,768,109,78, middle
40154,76,54,769,89,79, middle
40337,75,53,768,116,77, middle
40523,73,52,768,116,77, middle
40722,73,52,767,116,77, middle
40918,74,52,767,95,78, middle
41102,72,51,768,103,91, middle
41288,72,53,768,95,112, middle
41475,73,53,768,161,108, middle
41666,72,53,767,161,80, middle
41862,71,51,767,124,89, middle
42049,74,54,768,161,92, middle
42238,72,51,767,123,112, middle
42427,74,54,768,107,109, middle
42615,75,53,767,91,89, middle
42799,74,51,767,118,120, middle
42991,77,54,767,161,88, middle
43180,74,52,768,87,89, middle
43364,75,53,768,87,81, middle
43559,73,52,767,94,107, middle
43745,75,54,768,98,94, middle
43930,77,54,768,99,90, middle
44114,75,52,768,95,91, middle
44298,73,51,767,99,91, middle
44482,74,53,767,97,108, middle
44668,77,54,767,96,110, middle
44854,76,52,767,117,110, middle
45043,77,53,768,115,107, middle
45234,78,51,767,86,107, middle
45420,75,52,768,98,110, middle
45607,77,53,767,85,113, middle
45793,74,51,767,85,93, middle
45977,74,51,768,87,75, middle
46160,73,52,767,114,93, middle
46347,77,53,768,112,93, middle
46545,75,53,768,104,110, middle
46733,75,51,767,108,101, middle
46921,74,53,768,105,89, middle
47107,75,53,768,111,106, middle
47295,74,51,768,111,103, middle
47496,73,51,768,115,100, middle
47684,76,54,768,100,94, middle
47870,75,52,767,102,81, middle
48055,73,51,768,99,80, middle
48239,73,53,768,95,81, middle
48423,75,54,768,96,87, middle
48607,75,53,768,101,80, middle
48792,72,51,767,97,80, middle
48988,75,52,768,102,109, middle
49176,72,52,768,116,109, middle
49376,72,52,768,104,110, middle
49564,74,54,768,99,109, middle
49753,72,51,768,101,87, middle
49939,70,54,769,121,87, middle
50138,66,53,768,96,91, middle
50322,68,54,769,97,93, middle
50507,68,52,767,94,110, middle
50693,66,51,767,97,107, middle
50879,71,54,768,95,107, middle
51065,71,53,768,94,108, middle
51251,68,51,767,93,111, middle
51437,70,53,768,114,77, middle
51623,73,53,768,96,93, middle
51807,72,52,767,117,76, middle
51995,72,53,768,91,108, middle
52181,73,54,768,119,75, middle
52367,72,52,767,119,75, middle
52576,73,54,769,117,101, middle
52764,71,52,767,98,96, middle
52949,69,51,767,94,66, middle
53132,73,52,767,121,98, middle
53319,72,54,768,107,66, middle
53504,73,53,767,116,66, middle
53702,73,53,768,120,73, middle
53888,70,51,767,117,76, middle
54074,71,53,768,102,92, middle
54262,73,53,768,101,111, middle
54450,74,52,768,116,90, middle
54637,72,54,768,110,88, middle
54823,73,52,768,118,90, middle
55010,71,52,768,106,90, middle
55196,74,55,768,118,90, middle
55382,72,53,768,116,90, middle
55568,70,51,768,101,106, middle
55756,74,54,768,97,88, middle
55940,74,53,767,98,93, middle
56125,72,51,768,108,90, middle
56311,72,53,768,161,88, middle
56502,73,52,767,109,88, middle
56688,71,52,767,144,92, middle
56876,75,54,768,115,121, middle
57065,72,51,767,119,109, middle
57254,74,54,768,107,88, middle
57440,75,53,767,107,88, middle
57626,71,51,767,96,88, middle
57810,74,53,768,96,90, middle
58006,71,51,767,96,89, middle
58202,72,52,767,95,89, middle
58386,71,52,768,109,89, middle
58572,75,54,768,95,90, middle
58759,76,52,768,115,90, middle
58957,75,54,768,94,110, middle
59143,72,52,767,116,110, middle
59343,72,51,768,95,77, middle
59527,72,53,767,116,75, middle
59713,77,54,768,117,109, middle
59902,73,52,767,95,115, middle
60089,76,54,768,96,87, middle
60273,77,54,769,101,70, middle
60458,74,52,767,101,69, middle
