Timestamp (ms), Piezo Value Left, Piezo Value Right, Flex Value Middle,Label,,
0,122,66,761, left,,
110,118,63,761, left,,
222,118,66,761, left,Baseline Left Piezo,54.65686591
334,124,64,760, left,Baseline Right Piezo,67.16478191
446,117,64,760, left,Baseline Flex Sensor,763.9340872
560,118,66,761, left,,
672,117,64,760, left,,
784,116,65,761, left,,
896,118,65,761, left,,
1008,117,64,760, left,,
1121,120,66,760, left,,
1234,115,65,761, left,,
1347,117,64,759, left,,
1460,116,66,761, left,,
1573,112,65,761, left,,
1686,118,64,760, left,,
1799,119,66,761, left,,
1912,112,64,761, left,,
2025,115,64,760, left,,
2138,117,66,761, left,,
2251,111,64,761, left,,
2364,112,65,761, left,,
2477,110,66,761, left,,
2590,86,64,760, left,,
2701,59,65,761, right,,
2815,0,64,761, left,,
2925,1,61,761, right,,
3035,61,63,761, right,,
3147,158,61,759, left,,
3260,132,63,760, left,,
3373,104,62,760, left,,
3486,139,61,760, left,,
3599,142,64,760, left,,
3712,114,64,760, left,,
3825,108,63,760, left,,
3938,114,66,760, left,,
4051,115,64,760, left,,
4164,114,64,761, left,,
4277,107,66,760, left,,
4390,116,64,760, left,,
4503,117,64,760, left,,
4616,114,66,760, left,,
4729,114,64,760, left,,
4842,116,64,761, left,,
4955,116,66,761, left,,
5070,116,64,760, left,,
5183,117,64,760, left,,
5296,117,66,760, left,,
5409,115,64,760, left,,
5522,116,64,760, left,,
5635,117,66,760, left,,
5748,115,64,760, left,,
5861,118,64,760, left,,
5974,119,66,761, left,,
6087,116,64,760, left,,
6200,118,64,760, left,,
6313,118,66,761, left,,
6426,113,64,760, left,,
6539,117,65,760, left,,
6652,117,66,760, left,,
6765,110,64,760, left,,
6878,112,65,760, left,,
6991,112,66,761, left,,
7104,107,64,760, left,,
7217,113,65,760, left,,
7332,117,66,761, left,,
7445,110,64,760, left,,
7558,113,65,760, left,,
7671,115,66,760, left,,
7784,110,65,761, left,,
7897,112,65,761, left,,
