Timestamp (ms),Piezo Value Left,Piezo Value Right,Label
0,8,7, left
80,6,7, right
160,7,7, middle
242,8,8, middle
324,9,9, middle
406,12,9, left
489,14,8, left
572,26,4, left
655,36,0, left
738,45,0, left
821,50,0, left
904,104,3, left
988,219,5, left
1072,274,2, left
1157,211,0, left
1242,31,0, left
1326,0,1, right
1409,54,3, left
1493,185,2, left
1578,253,0, left
1663,177,0, left
1748,77,3, left
1832,66,4, left
1916,147,4, left
2001,319,4, left
2088,248,6, left
2173,107,3, left
2258,0,0, middle
2341,0,0, middle
2424,11,0, left
2508,66,0, left
2592,56,0, left
2676,0,0, middle
2758,0,0, middle
2841,0,0, middle
2923,7,0, left
3005,51,1, left
3089,80,4, left
3173,77,6, left
3257,49,4, left
3341,45,3, left
3425,145,4, left
3510,168,6, left
3595,49,4, left
3679,0,3, right
3762,5,5, middle
3845,97,6, left
3929,101,8, left
4014,0,7, right
4096,0,4, right
4179,0,3, right
4264,4,3, left
4347,169,9, left
4432,231,11, left
4518,75,6, left
4602,0,0, middle
4685,0,3, right
4768,38,9, left
4852,65,12, left
4937,46,10, left
5022,5,8, right
5105,3,8, right
5188,22,8, left
5272,24,10, left
5357,17,9, left
5441,7,7, middle
5524,0,6, right
5607,19,7, left
5691,27,9, left
5775,17,10, left
5860,11,7, left
5944,16,6, left
6028,17,7, left
6112,17,10, left
6197,21,9, left
6281,15,7, left
6365,0,7, right
6450,0,10, right
6534,9,11, right
6618,41,10, left
6703,80,7, left
6787,87,6, left
6871,49,9, left
6955,5,10, right
7039,7,9, right
7122,15,8, left
7206,20,7, left
7290,29,9, left
7374,32,10, left
7459,17,10, left
7544,1,8, right
7627,8,8, middle
7710,10,9, left
7794,11,11, middle
7879,12,11, left
7964,8,9, right
8047,11,8, left
8131,13,10, left
8216,14,12, left
8301,12,10, left
8386,11,8, left
8470,16,9, left
8554,11,11, middle
8639,11,12, right
8722,13,10, left
8807,9,8, left
8890,7,9, right
8973,10,10, middle
9058,20,12, left
9143,14,10, left
9228,6,8, right
9311,9,9, middle
9394,13,11, left
9479,15,12, left
9564,13,10, left
9649,11,8, left
9733,16,10, left
9818,18,12, left
9903,18,10, left
9988,16,8, left
10072,18,9, left
10157,19,11, left
10243,13,10, left
10329,10,8, left
10414,11,10, left
10500,16,12, left
10586,11,10, left
10672,11,9, left
10757,13,11, left
10845,18,10, left
10931,14,9, left
11016,16,11, left
11102,20,11, left
11188,11,9, left
11273,6,9, right
11357,12,11, left
11443,20,11, left
11529,10,9, left
11614,13,10, left
11700,11,12, right
11786,10,10, middle
11872,1,9, right
11956,0,10, right
12041,0,12, right
12126,0,11, right
12211,0,10, right
12296,10,11, right
12382,26,13, left
12468,24,10, left
12554,21,10, left
12640,31,12, left
12726,13,11, left
12812,5,9, right
12898,14,11, left
12984,0,12, right
13069,0,9, right
13153,0,7, right
13237,0,9, right
13321,30,11, left
13407,165,10, left
13494,201,9, left
13580,86,12, left
13666,0,11, right
13751,0,9, right
13835,67,9, left
13920,97,11, left
14006,14,12, left
14092,0,9, right
14176,25,10, left
14262,44,12, left
14348,19,11, left
14434,3,8, right
14518,18,10, left
14604,31,12, left
14690,16,10, left
14776,7,9, right
14860,20,11, left
14946,25,12, left
15034,11,9, left
15119,12,10, left
15205,22,12, left
15291,17,10, left
15377,11,10, left
15463,17,12, left
15549,19,11, left
15635,13,9, left
15720,13,11, left
15806,18,13, left
15892,16,10, left
15978,12,10, left
16064,16,13, left
16150,14,11, left
16236,11,9, left
16321,14,11, left
16407,19,13, left
16493,14,10, left
16579,14,10, left
16665,14,13, left
16751,15,11, left
16837,11,10, left
16923,15,11, left
17009,16,12, left
17095,13,10, left
17183,14,12, left
17269,17,12, left
17355,12,10, left
17441,14,10, left
17527,16,13, left
17613,13,11, left
17699,12,10, left
17785,16,12, left
17871,15,12, left
17957,12,10, left
18043,15,11, left
18129,17,13, left
18215,13,10, left
18301,13,10, left
18387,16,13, left
18473,14,11, left
18559,11,9, left
18644,14,11, left
18730,17,13, left
18816,12,10, left
18902,12,10, left
18988,17,13, left
19074,14,11, left
19160,11,10, left
19248,16,13, left
19334,15,12, left
19420,11,9, left
19505,14,11, left
19591,16,13, left
19677,12,10, left
19763,12,10, left
19849,17,13, left
19935,16,11, left
20021,11,10, left
20107,15,12, left
20193,16,13, left
20279,11,10, left
20365,12,11, left
20451,17,13, left
20537,13,10, left
20623,12,10, left
20709,15,13, left
20795,15,11, left
20881,12,9, left
20966,13,11, left
21052,16,13, left
21138,12,10, left
21224,11,10, left
21310,17,13, left
21398,14,10, left
21484,11,10, left
21570,13,13, middle
21656,14,12, left
21742,11,10, left
21828,13,12, left
21914,14,13, left
22000,12,10, left
22086,12,10, left
22172,15,13, left
22258,12,11, left
22344,10,10, middle
22430,14,12, left
22516,15,12, left
22602,11,10, left
22688,12,11, left
22774,14,13, left
22860,12,10, left
22946,11,10, left
23032,15,13, left
23118,14,11, left
23204,10,10, middle
23290,14,12, left
23376,16,12, left
23464,11,9, left
23549,12,11, left
23635,15,13, left
23721,13,10, left
23807,11,10, left
23893,17,13, left
23979,15,11, left
24065,3,10, right
24150,5,12, right
24235,8,13, right
24320,12,11, left
24406,20,9, left
24491,23,11, left
24577,29,12, left
24663,27,9, left
24748,17,10, left
24834,16,12, left
24920,12,11, left
25006,7,10, right
25091,16,12, left
25177,26,13, left
25263,7,10, right
25348,1,11, right
25433,25,13, left
25521,24,11, left
25607,4,10, right
25692,10,12, right
25778,19,13, left
25864,10,10, middle
25950,7,11, right
26035,15,13, left
26121,15,12, left
26207,10,10, middle
26293,13,12, left
26379,14,13, left
26465,9,10, right
26550,11,10, left
26636,15,13, left
26722,12,12, middle
26808,10,10, middle
26894,13,12, left
26980,14,13, left
27066,10,10, middle
27152,10,11, right
27238,14,13, left
27324,12,11, left
27410,9,10, right
27495,11,13, right
27583,12,12, middle
27669,9,10, right
27754,11,12, right
27840,13,13, middle
27926,10,11, right
28012,10,11, right
28098,12,13, right
28184,12,12, middle
28270,9,10, right
28355,11,12, right
28441,14,13, left
28527,11,10, left
28613,10,11, right
28699,12,13, right
28785,12,12, middle
28871,9,10, right
28956,11,12, right
29042,12,13, right
29128,9,10, right
29213,10,10, middle
29299,13,13, middle
