Timestamp (ms), Piezo Value,Label
0,69, empty
53,65, empty
106,68, empty
160,68, empty
214,65, empty
268,66, empty
322,71, empty
376,67, empty
430,66, empty
484,70, empty
538,70, empty
592,65, empty
646,69, empty
700,71, empty
754,66, empty
808,67, empty
862,70, empty
916,67, empty
970,66, empty
1024,70, empty
1079,69, empty
1134,67, empty
1189,64, empty
1244,71, empty
1299,71, empty
1354,67, empty
1409,67, empty
1464,71, empty
1519,70, empty
1574,66, empty
1632,66, empty
1687,66, empty
1742,72, empty
1797,68, empty
1852,61, empty
1907,69, empty
1962,71, empty
2017,69, empty
2072,66, empty
2127,68, empty
2182,72, empty
2237,70, empty
2292,66, empty
2347,68, empty
2402,71, empty
2457,68, empty
2512,66, empty
2567,71, empty
2622,71, empty
2677,70, empty
2732,67, empty
2787,70, empty
2842,72, empty
2897,74, empty
2952,68, empty
3007,70, empty
3062,72, empty
3117,69, empty
3172,69, empty
3227,70, empty
3285,68, empty
3340,71, empty
3395,68, empty
3450,67, empty
3505,72, empty
3560,71, empty
3615,69, empty
3670,68, empty
3725,72, empty
3780,71, empty
3835,68, empty
3890,69, empty
3945,72, empty
4000,72, empty
4055,68, empty
4110,67, empty
4165,71, empty
4220,71, empty
4275,67, empty
4330,68, empty
4385,70, empty
4440,72, empty
4495,64, empty
4550,68, empty
4605,70, empty
4660,71, empty
4715,64, empty
4770,69, empty
4825,71, empty
4880,72, empty
4938,68, empty
4993,66, empty
5048,71, empty
5103,73, empty
5158,71, empty
5213,68, empty
5268,72, empty
5323,73, empty
5378,70, empty
5433,78, empty
5488,71, empty
5543,68, empty
5598,69, empty
5653,68, empty
5708,70, empty
5763,74, empty
5818,71, empty
5873,70, empty
5928,70, empty
5983,73, empty
6038,71, empty
6093,69, empty
6148,73, empty
6203,75, empty
6258,70, empty
6313,70, empty
6368,48, empty
6423,75, empty
6478,71, empty
6533,69, empty
6588,73, empty
6646,74, empty
6701,73, empty
6756,70, empty
6811,70, empty
6866,70, empty
6921,74, empty
6976,71, empty
7031,71, empty
7086,74, empty
7141,74, empty
7196,71, empty
7251,72, empty
7306,76, empty
7361,75, empty
7416,71, empty
7471,79, empty
7526,75, empty
7581,78, empty
7636,72, empty
7691,69, empty
7746,75, empty
7801,74, empty
7856,68, empty
7911,73, empty
7966,75, empty
8021,79, empty
8076,71, empty
8131,72, empty
8186,76, empty
8241,74, empty
8299,72, empty
8354,70, empty
8409,72, empty
8464,76, empty
8519,73, empty
8574,71, empty
8629,74, empty
8684,80, empty
8739,74, empty
8794,71, empty
8849,74, empty
8904,77, empty
8959,73, empty
9014,74, empty
9069,73, empty
9124,76, empty
9179,74, empty
9234,71, empty
9289,74, empty
9344,76, empty
9399,73, empty
9454,71, empty
9509,74, empty
9564,70, empty
9619,74, empty
9674,71, empty
9729,75, empty
9784,77, empty
9839,74, empty
9894,71, empty
9952,73, empty
10007,78, empty
10063,76, empty
10119,73, empty
10175,72, empty
10231,75, empty
10287,75, empty
10343,74, empty
10399,68, empty
10455,71, empty
10511,74, empty
10567,76, empty
10623,76, empty
10679,74, empty
10735,72, empty
10791,74, empty
10847,77, empty
10903,76, empty
10959,77, empty
11015,72, empty
11071,85, empty
11127,76, empty
11183,77, empty
11239,74, empty
11295,72, empty
11351,76, empty
11407,76, empty
11463,75, empty
11522,76, empty
11578,75, empty
11634,72, empty
11690,75, empty
11746,77, empty
11802,77, empty
11858,73, empty
11914,73, empty
11970,75, empty
12026,78, empty
12082,76, empty
12138,72, empty
12194,74, empty
12250,81, empty
12306,77, empty
12362,77, empty
12418,73, empty
12474,75, empty
12530,77, empty
12586,78, empty
12642,76, empty
12698,76, empty
12754,74, empty
12810,76, empty
12866,78, empty
12922,75, empty
12978,74, empty
13034,74, empty
13090,77, empty
13149,78, empty
13205,80, empty
13261,75, empty
13317,74, empty
13373,75, empty
13429,78, empty
13485,78, empty
13541,77, empty
13597,75, empty
13653,75, empty
13709,80, empty
13765,80, empty
13821,76, empty
13877,74, empty
13933,75, empty
13989,78, empty
14045,80, empty
14101,76, empty
14157,74, empty
14213,75, empty
14269,78, empty
14325,78, empty
14381,76, empty
14437,75, empty
14493,75, empty
14549,77, empty
14605,83, empty
14661,76, empty
14720,76, empty
14776,76, empty
14832,76, empty
14888,79, empty
14944,79, empty
15000,75, empty
15056,74, empty
15112,77, empty
15168,79, empty
15224,79, empty
15280,75, empty
15336,74, empty
15392,77, empty
15448,80, empty
15504,101, empty
15561,77, empty
15617,73, empty
15673,77, empty
15729,78, empty
15785,81, empty
15841,69, empty
15897,75, empty
15953,77, empty
16009,80, empty
16065,80, empty
16121,78, empty
16177,66, empty
16233,76, empty
16289,79, empty
16348,78, empty
16404,75, empty
16460,75, empty
16516,73, empty
16572,77, empty
16628,80, empty
16684,78, empty
16740,75, empty
16796,74, empty
16852,77, empty
16908,78, empty
16964,78, empty
17020,76, empty
17076,73, empty
17132,78, empty
17188,79, empty
17244,78, empty
17300,68, empty
17356,71, empty
17412,76, empty
17468,79, empty
17524,76, empty
17580,75, empty
17636,75, empty
17692,77, empty
17748,79, empty
17804,79, empty
17860,74, empty
17919,62, empty
17975,75, empty
18031,78, empty
18087,80, empty
18143,78, empty
18199,74, empty
18255,76, empty
18311,74, empty
18367,84, empty
18423,79, empty
18479,75, empty
18535,65, empty
18591,76, empty
18647,81, empty
18703,78, empty
18759,76, empty
18815,77, empty
18871,79, empty
18927,79, empty
18983,79, empty
19039,75, empty
19095,76, empty
19151,79, empty
19207,69, empty
19263,79, empty
19319,75, empty
19375,76, empty
19431,79, empty
19487,79, empty
19541,76, empty
19597,74, empty
19653,77, empty
19709,78, empty
19765,80, empty
19821,77, empty
19877,75, empty
19933,79, empty
19989,79, empty
20045,79, empty
20101,76, empty
20157,76, empty
20213,77, empty
20269,82, empty
20325,81, empty
20381,77, empty
20437,76, empty
20493,79, empty
20549,80, empty
20605,80, empty
20661,75, empty
20717,75, empty
20773,78, empty
20829,80, empty
20885,81, empty
20941,76, empty
20997,76, empty
21053,77, empty
21112,79, empty
21168,81, empty
21224,78, empty
21280,77, empty
21336,76, empty
21392,79, empty
21448,84, empty
21504,80, empty
21560,77, empty
21616,76, empty
21672,79, empty
21728,86, empty
21784,83, empty
21840,77, empty
21896,78, empty
21952,79, empty
22008,85, empty
22064,82, empty
22120,106, empty
22177,77, empty
22233,79, empty
22289,81, empty
22345,82, empty
22401,79, empty
22457,76, empty
22513,78, empty
22569,81, empty
22625,81, empty
22684,81, empty
22740,54, empty
22796,76, empty
22852,79, empty
22908,87, empty
22964,80, empty
23020,78, empty
23076,76, empty
23132,77, empty
23188,82, empty
23244,81, empty
23300,78, empty
23356,77, empty
23412,80, empty
23468,82, empty
23524,82, empty
23580,78, empty
23636,77, empty
23692,80, empty
23748,82, empty
23804,81, empty
23860,78, empty
23916,80, empty
23972,79, empty
24028,82, empty
24084,83, empty
24140,79, empty
24196,77, empty
24252,80, empty
24311,81, empty
24367,79, empty
24423,82, empty
24479,78, empty
24535,78, empty
24591,80, empty
24647,59, empty
24703,82, empty
24759,78, empty
24815,78, empty
24871,81, empty
24927,82, empty
24983,80, empty
25039,77, empty
25095,78, empty
25151,80, empty
25207,81, empty
25263,81, empty
25319,79, empty
25375,79, empty
25431,82, empty
25487,82, empty
25543,82, empty
25599,78, empty
25655,78, empty
25711,82, empty
25767,83, empty
25823,82, empty
25882,82, empty
25938,78, empty
25994,78, empty
26050,82, empty
26106,84, empty
26162,80, empty
26218,78, empty
26274,82, empty
26330,82, empty
26386,83, empty
26442,81, empty
26498,79, empty
26554,79, empty
26610,82, empty
26666,84, empty
26722,82, empty
26778,85, empty
26834,79, empty
26890,83, empty
26946,83, empty
27002,83, empty
27058,79, empty
27114,79, empty
27170,83, empty
27226,82, empty
27282,82, empty
27338,80, empty
27394,90, empty
27450,83, empty
27509,83, empty
27565,84, empty
27621,81, empty
27677,78, empty
27733,80, empty
27789,82, empty
27845,77, empty
27901,80, empty
27957,80, empty
28013,80, empty
28069,82, empty
28125,84, empty
28181,82, empty
28237,79, empty
28293,81, empty
28349,83, empty
28405,84, empty
28461,82, empty
28517,80, empty
28573,80, empty
28629,84, empty
28685,99, empty
28741,82, empty
28797,79, empty
28853,83, empty
28909,84, empty
28965,84, empty
29021,81, empty
29080,82, empty
29136,79, empty
29192,81, empty
29248,83, empty
29304,84, empty
29360,86, empty
29416,79, empty
29472,81, empty
29528,85, empty
29584,84, empty
29640,82, empty
29696,79, empty
29752,82, empty
29808,84, empty
29864,84, empty
29920,82, empty
29976,80, empty
0,139, empty
54,140, empty
108,137, empty
163,140, empty
218,141, empty
273,140, empty
328,136, empty
383,138, empty
438,141, empty
493,140, empty
548,138, empty
603,138, empty
658,140, empty
713,141, empty
768,131, empty
823,139, empty
878,139, empty
933,145, empty
988,142, empty
1043,138, empty
1099,126, empty
1155,94, empty
1210,0, sitting
1264,0, sitting
1318,0, sitting
1372,0, sitting
1426,0, sitting
1480,0, sitting
1534,89, empty
1592,266, sitting
1648,303, sitting
1704,294, sitting
1760,295, sitting
