Timestamp (ms), rf Distance left, rf Distance right, Label
0,0,0, N/A
87,55,0, left
196,56,0, left
306,56,0, left
417,55,0, left
527,55,0, left
637,55,0, left
747,54,0, left
858,54,0, left
968,54,0, left
1078,55,0, left
1189,53,0, left
1301,54,0, left
1412,54,0, left
1523,57,0, left
1635,57,0, left
1760,57,0, left
1885,57,0, left
2011,45,0, left
2124,45,0, left
2249,45,0, left
2374,45,0, left
2500,49,0, left
2611,49,120, left
2728,49,120, left
2855,49,120, left
2983,46,120, left
3096,46,120, left
3223,46,120, left
3351,46,118, left
3468,46,118, left
3595,46,118, left
3722,62,118, left
3836,57,116, left
3939,57,116, left
4067,57,119, left
4184,57,116, left
4301,60,116, left
4414,61,116, left
4531,60,116, left
4644,60,116, left
4772,60,116, left
4899,60,116, left
5027,60,117, left
5144,60,117, left
5261,61,117, left
5374,61,117, left
5502,58,117, left
5615,58,117, left
5743,55,117, left
5856,55,117, left
5970,53,117, left
6083,58,117, left
6197,58,117, left
6324,58,117, left
6451,58,117, left
6579,58,117, left
6692,58,117, left
6822,58,117, left
6950,58,117, left
7077,58,117, left
7204,55,117, left
7318,55,117, left
7445,55,117, left
7573,54,117, left
7686,55,117, left
7799,55,117, left
7927,55,117, left
8054,55,117, left
8182,55,117, left
8309,55,117, left
8437,55,117, left
8564,55,117, left
8691,55,117, left
8819,55,117, left
8946,55,117, left
9074,55,117, left
9203,55,116, left
9320,55,116, left
9448,51,115, left
9550,51,115, left
9678,51,115, left
9805,51,116, left
9922,51,116, left
10050,51,116, left
10178,64,118, left
10283,64,106, left
10400,64,106, left
10528,59,111, left
10632,61,116, left
10736,61,116, left
10865,61,115, left
10983,61,114, left
11101,61,108, left
11218,60,108, left
11335,60,115, left
11453,60,108, left
11571,60,107, left
11688,60,106, left
11805,60,106, left
11934,60,105, left
12051,60,105, left
12180,60,105, left
12308,47,105, left
12422,64,105, left
12537,64,105, left
12666,56,105, left
12780,58,105, left
12895,58,105, left
13012,58,105, left
13129,58,106, left
13247,59,106, left
13361,59,118, left
13468,60,104, left
13572,60,116, left
13689,56,119, left
13794,56,105, left
13897,56,104, left
14000,56,105, left
14118,56,106, left
14235,56,116, left
14353,56,120, left
14471,56,103, left
14588,56,104, left
14705,56,103, left
14823,56,103, left
14940,56,103, left
15057,56,103, left
15174,56,116, left
15292,56,104, left
15409,56,116, left
15527,56,116, left
15648,56,118, left
15766,56,105, left
15883,56,102, left
16000,56,104, left
16118,56,106, left
16235,56,103, left
16352,56,103, left
16469,56,106, left
16587,56,105, left
16704,56,102, left
16821,56,106, left
16939,57,117, left
17043,56,105, left
17146,57,103, left
17250,57,105, left
17353,57,104, left
17456,57,103, left
17560,58,103, left
17666,58,105, left
17769,57,103, left
17872,58,103, left
17976,57,105, left
18079,58,103, left
18182,57,103, left
18286,57,103, left
18389,57,103, left
18506,56,103, left
18621,57,103, left
18735,59,103, left
18839,57,105, left
18942,57,102, left
19059,57,104, left
19177,57,117, left
19295,57,121, left
19413,57,120, left
19531,57,120, left
19652,57,118, left
19770,57,117, left
19888,57,118, left
20006,57,124, left
20124,57,119, left
20242,57,118, left
20360,57,117, left
20478,57,118, left
20596,57,119, left
20714,57,106, left
20832,57,103, left
20949,57,117, left
21067,57,117, left
21185,57,105, left
21302,57,103, left
21420,57,103, left
21537,57,103, left
21654,57,102, left
21771,57,103, left
21891,57,103, left
22008,57,108, left
22126,57,103, left
22243,57,103, left
22360,57,103, left
22477,57,103, left
22594,57,105, left
22712,57,103, left
22829,57,105, left
22946,57,104, left
23063,57,104, left
23181,57,106, left
23298,57,117, left
23416,57,106, left
23534,58,119, left
23638,58,116, left
23742,58,103, left
23859,58,104, left
23979,58,105, left
24096,58,119, left
24214,58,120, left
24333,58,117, left
24451,58,103, left
24568,58,116, left
24686,58,116, left
24814,58,103, left
24931,58,102, left
25049,58,102, left
25166,58,103, left
25283,58,103, left
25400,58,120, left
25518,58,105, left
25636,58,102, left
25753,58,102, left
25870,58,120, left
25988,58,105, left
26108,58,105, left
26225,58,119, left
26343,58,105, left
26461,58,102, left
26578,58,103, left
26695,58,103, left
26812,58,105, left
26929,58,104, left
27047,58,103, left
27164,58,104, left
27281,58,103, left
27399,58,104, left
27516,58,117, left
27634,58,104, left
27751,58,117, left
27869,58,104, left
27986,58,117, left
28104,59,119, left
28211,58,119, left
28326,58,119, left
28454,58,119, left
28583,58,119, left
28711,56,119, left
28826,56,119, left
28954,56,97, left
29070,56,94, left
29186,56,94, left
29313,82,94, left
29416,82,94, left
29543,166,94, right
29664,51,94, left
29778,54,94, left
29891,54,94, left
30004,54,94, left
30132,54,94, left
30259,102,60, right
30362,102,93, middle
30482,115,92, right
30587,113,97, right
30694,113,97, right
30811,113,102, right
30929,113,102, right
31058,100,93, middle
31163,106,92, right
31269,103,111, middle
31376,103,111, middle
31506,103,91, right
31622,115,91, right
31740,115,91, right
31858,115,91, right
31987,104,91, right
32104,97,91, middle
32220,103,91, right
32337,101,91, middle
32456,104,91, right
32574,106,97, middle
32679,107,97, middle
32797,103,97, middle
32914,106,97, middle
33031,113,97, right
33149,106,97, middle
33266,108,119, left
33375,113,119, middle
33493,113,119, middle
33623,119,119, middle
33742,119,119, middle
33872,115,119, middle
33991,83,105, left
34096,83,105, left
34224,117,108, middle
34332,83,113, left
34437,82,113, left
34552,107,113, middle
34670,114,98, right
34776,118,97, right
34883,118,97, right
35011,115,97, right
35129,115,97, right
35257,118,97, right
35376,83,97, left
35490,118,97, right
35609,107,97, middle
35726,115,107, middle
35834,111,107, middle
35953,111,109, middle
36071,118,109, middle
36190,114,109, middle
36309,112,109, middle
36428,108,109, middle
36549,113,105, middle
36657,111,105, middle
36775,120,105, right
36894,112,108, middle
37002,77,108, left
37118,80,108, left
37234,106,108, middle
37352,108,115, middle
37460,114,105, middle
37568,111,105, middle
37687,82,105, left
37803,85,105, left
37919,113,105, middle
38038,121,109, right
38146,116,106, middle
