Timestamp (ms), rf Distance left, rf Distance right, Label
0,119,102, right
104,119,103, right
220,119,106, right
336,119,104, right
453,119,105, right
569,119,105, right
696,119,105, right
824,119,105, right
951,119,105, right
1068,119,105, right
1196,119,105, right
1325,119,105, right
1453,119,105, right
1582,119,105, right
1711,119,105, right
1839,119,105, right
1970,119,105, right
2099,119,105, right
2227,119,104, right
2345,119,104, right
2462,119,102, right
2579,119,104, right
2696,119,104, right
2814,119,106, right
2931,119,102, right
3048,119,102, right
3165,119,102, right
3283,63,102, left
3397,60,102, left
3510,60,102, left
3638,59,102, left
3752,55,102, left
3865,55,102, left
3993,115,102, right
4111,54,102, left
4226,117,102, right
4344,117,102, right
4462,49,102, left
4576,120,102, right
4694,117,102, right
4812,117,102, right
4930,117,102, right
5059,117,102, right
5187,117,102, right
5316,117,102, right
5444,117,102, right
5573,118,102, right
5691,118,102, right
5819,60,102, left
5933,118,102, right
6051,116,102, right
6169,117,102, right
6290,115,102, right
6408,115,102, right
6526,115,102, right
6654,118,102, right
6772,122,102, right
6891,122,102, right
7019,122,102, right
7148,115,102, right
7266,118,105, right
7373,116,105, right
7491,116,108, middle
7598,118,108, middle
7716,118,112, middle
7834,107,114, middle
7941,99,112, left
8046,116,99, right
8151,70,111, left
8255,70,111, left
8374,63,111, left
8477,117,112, middle
8584,117,112, middle
8692,60,111, left
8795,57,118, left
8898,116,118, middle
9016,54,115, left
9119,78,115, left
9234,78,114, left
9338,116,114, middle
9456,78,114, left
9571,116,114, middle
9689,77,114, left
9803,81,114, left
9918,116,114, middle
10036,115,114, middle
10155,115,114, middle
10285,116,114, middle
10407,116,114, middle
10526,115,114, middle
10645,116,114, middle
10764,116,114, middle
10893,116,114, middle
11023,116,114, middle
11153,116,114, middle
11282,116,114, middle
11523,116,114, middle
11652,116,114, middle
11782,116,114, middle
11911,116,114, middle
12041,116,114, middle
12170,116,114, middle
12300,116,114, middle
12429,116,114, middle
12559,116,114, middle
12691,116,114, middle
12820,116,115, middle
12939,116,115, middle
13058,116,115, middle
13188,116,115, middle
13317,116,115, middle
13447,116,115, middle
13576,116,115, middle
13706,116,115, middle
13835,116,115, middle
13965,116,115, middle
14094,116,115, middle
14213,116,115, middle
14343,116,115, middle
14472,116,115, middle
14602,116,115, middle
14723,116,117, middle
14842,116,115, middle
14961,116,115, middle
15091,116,115, middle
15220,116,115, middle
15350,116,115, middle
15479,116,115, middle
15609,116,115, middle
15738,116,115, middle
15868,116,115, middle
15997,116,115, middle
16127,116,115, middle
16256,116,115, middle
16386,116,115, middle
16515,116,115, middle
16645,116,115, middle
16774,116,115, middle
16906,116,115, middle
17036,116,115, middle
17165,116,115, middle
17295,116,115, middle
17424,116,115, middle
17554,116,115, middle
17683,116,115, middle
17813,116,115, middle
17943,116,115, middle
18072,116,115, middle
18202,116,115, middle
18331,116,115, middle
18461,116,115, middle
18590,116,115, middle
18720,116,115, middle
18849,116,115, middle
18981,116,115, middle
19111,116,115, middle
19240,68,114, left
19345,68,114, left
19473,67,114, left
19588,67,114, left
19717,65,114, left
19832,65,114, left
19960,65,114, left
20089,65,114, left
20217,115,114, middle
20336,115,114, middle
20466,115,114, middle
20585,115,114, middle
20704,115,114, middle
20833,115,114, middle
20963,115,114, middle
21095,115,114, middle
21224,115,114, middle
21354,115,114, middle
21483,115,114, middle
21613,115,114, middle
21742,115,114, middle
21872,115,114, middle
22001,115,114, middle
22131,115,114, middle
22260,115,114, middle
22390,115,114, middle
22519,115,114, middle
22649,115,114, middle
22778,115,114, middle
22908,115,114, middle
23037,115,102, right
23156,116,102, right
23277,67,102, left
23392,67,102, left
23521,118,102, right
23640,118,102, right
23769,118,102, right
23899,118,119, middle
24018,52,119, left
24132,52,119, left
24261,117,101, right
24369,117,101, right
24488,117,101, right
24607,117,101, right
24736,55,101, left
24851,59,101, left
24965,59,101, left
25094,59,101, left
25222,59,101, left
25351,59,101, left
25482,55,101, left
25596,55,101, left
25711,55,101, left
25825,59,101, left
25940,58,101, left
26055,55,101, left
26169,54,101, left
26284,57,101, left
26398,56,101, left
26513,55,101, left
26627,55,101, left
26742,55,101, left
26856,54,101, left
26971,55,101, left
27085,55,101, left
27200,55,101, left
27314,55,101, left
27429,57,101, left
27546,57,106, left
27663,57,106, left
27791,59,106, left
27906,57,106, left
28021,57,106, left
28135,56,106, left
28250,57,106, left
28365,58,106, left
28479,59,106, left
28594,119,106, right
28713,119,106, right
28832,117,107, middle
28940,118,107, right
29048,117,106, right
29156,115,106, middle
29275,115,106, middle
29394,115,106, middle
29516,118,106, right
29635,119,109, middle
29743,119,108, right
29862,119,108, right
29991,119,108, right
30121,119,108, right
30250,119,108, right
30380,119,108, right
30509,67,108, left
30624,116,108, middle
30743,119,108, right
30863,87,120, left
30969,87,76, right
31083,87,71, right
31198,38,71, left
31310,38,99, left
31426,109,99, middle
31544,68,99, left
31660,68,97, left
31776,68,99, left
31892,68,104, left
32009,109,104, middle
32128,100,97, middle
32233,97,113, left
32340,90,115, left
32446,90,115, left
32574,90,104, left
32691,100,102, middle
32798,101,114, left
32906,101,107, middle
33024,101,111, middle
33143,101,111, middle
33272,101,92, middle
33389,104,111, middle
33497,101,111, middle
33617,101,111, middle
33747,105,91, right
33852,105,106, middle
33971,111,95, right
34077,99,106, middle
34182,88,105, left
34288,98,82, right
34391,69,101, left
34495,98,101, middle
34612,72,89, left
34714,97,96, middle
34819,72,96, left
34933,85,111, left
35038,85,108, left
35156,106,108, middle
35263,112,108, middle
35382,107,108, middle
35501,106,86, right
35608,108,86, right
35726,108,97, right
35832,111,97, right
35949,113,90, right
36055,114,95, right
36161,114,95, right
36278,114,96, right
36395,114,90, right
36512,114,88, right
36628,114,97, right
36745,114,93, right
36851,115,92, right
36957,115,92, right
37085,112,92, right
37203,112,92, right
37331,113,92, right
37449,117,92, right
37567,117,92, right
37688,117,90, right
37804,119,91, right
37910,119,91, right
38039,119,91, right
38167,112,95, right
38273,113,92, right
38379,114,92, right
38497,114,94, right
38603,111,92, right
38709,115,92, right
38815,115,95, right
38921,111,95, right
39039,113,95, right
39157,112,95, right
39274,114,95, right
39392,116,95, right
39510,113,95, right
39630,114,95, right
39748,124,95, right
39867,124,95, right
39995,124,94, right
40112,119,94, right
40230,119,91, right
40347,119,91, right
40463,119,91, right
40580,119,94, right
40697,119,94, right
40825,119,90, right
40941,112,90, right
41059,71,90, left
41174,119,90, right
41292,74,94, left
41395,74,94, left
41522,73,94, left
41636,72,89, left
41741,72,89, left
41869,72,89, left
41996,73,114, left
42101,73,117, left
42219,73,117, left
42347,73,117, left
42463,73,117, left
42578,74,117, left
42694,72,115, left
42799,73,115, left
42914,73,115, left
43043,84,115, left
43159,84,116, left
43277,84,116, left
43405,84,114, left
43523,84,112, left
43641,77,112, left
43757,77,116, left
43875,117,114, middle
43985,118,114, middle
44105,118,113, middle
44223,115,113, middle
44342,116,114, middle
44451,116,114, middle
44559,116,114, middle
44689,116,115, middle
44797,117,112, middle
44905,117,117, middle
45024,82,117, left
45141,83,114, left
45246,83,90, middle
45349,84,90, middle
45464,81,90, middle
45579,81,90, middle
45694,82,90, middle
45809,81,93, left
45915,83,95, left
46018,82,95, left
46121,82,92, middle
46224,81,92, left
46327,82,97, left
46431,82,95, left
46534,83,95, left
46649,82,99, left
46753,82,99, left
46868,81,119, left
46973,81,113, left
47079,81,113, left
47195,82,115, left
47300,81,115, left
47405,81,115, left
47521,106,96, middle
47627,115,124, middle
47736,102,96, middle
47844,101,93, middle
47949,115,101, right
48057,116,98, right
48163,116,101, right
48271,116,101, right
48400,117,98, right
48507,117,98, right
48624,80,96, left
48727,81,95, left
48830,115,95, right
48937,82,95, left
49040,82,96, left
49156,80,97, left
49259,80,104, left
49376,81,97, left
49480,123,97, right
49598,82,93, left
49701,81,95, left
49807,81,95, left
49922,80,95, left
50025,81,109, left
50130,80,95, left
50233,78,110, left
50338,80,94, left
50441,78,91, left
